
Liste des tickets avec taches GLPI migrees vers DSIHUB
Total: 11279 tickets, 15577 taches GLPI migrees
Ticket #96 | Archivage fichiers de pointage | 1 tache(s) | IDs GLPI: 51114
Ticket #30588 | Boite Mail | 1 tache(s) | IDs GLPI: 19951
Ticket #30590 | TR: Message électronique à votre disposition | 1 tache(s) | IDs GLPI: 19949
Ticket #30594 | RE: URGENT - ELise pas d'impression étiquettes et interface changée | 1 tache(s) | IDs GLPI: 19945
Ticket #30599 | ouverture de droit sous K /fichier DRH /CREP | 1 tache(s) | IDs GLPI: 19939
Ticket #30600 | Accès boite PIJ | 1 tache(s) | IDs GLPI: 19937
Ticket #30603 | demandes 2024 | 1 tache(s) | IDs GLPI: 19931
Ticket #30605 | recherche de mails sur la boîte SMP  | 1 tache(s) | IDs GLPI: 19928
Ticket #30606 | TR: *SPAM*  Revêtement antiadhésif PEEK innovant | 1 tache(s) | IDs GLPI: 19926
Ticket #30614 | Urgent : Airs delib | 1 tache(s) | IDs GLPI: 19916
Ticket #30615 | Accès Serveur P: ARCHIVES PHOTOS CONSERVATOIRE | 1 tache(s) | IDs GLPI: 19914
Ticket #30619 | TR: Forum de l''emploi | 2 tache(s) | IDs GLPI: 19907,19908
Ticket #30624 | Besoin de plus de gigas sur mon téléphone pro | 1 tache(s) | IDs GLPI: 19899
Ticket #30625 | Adresse mail qui pose problème | 1 tache(s) | IDs GLPI: 19897
Ticket #30628 | Fiche_arrivee_changement_service_depart-2 | 3 tache(s) | IDs GLPI: 19891,19892,19893
Ticket #30629 | TR: Téléchargez notre livre blanc sur l'autoconsommation photovoltaïque | 1 tache(s) | IDs GLPI: 19889
Ticket #30630 | Autorisation Accès dossier | 1 tache(s) | IDs GLPI: 19887
Ticket #30632 | Suite Coupure à RIGAUD = plus de PC fonctionnels au RDC | 1 tache(s) | IDs GLPI: 19884
Ticket #30635 | Demande de suppression de l'accès à la boite "Pôle Famille" | 1 tache(s) | IDs GLPI: 19878
Ticket #30636 | changement téléphone fixe | 1 tache(s) | IDs GLPI: 19876
Ticket #30641 | Fwd: Quarantine Report for mrevoy@ivry94.fr | 1 tache(s) | IDs GLPI: 19870
Ticket #30642 | TR: *SPAM*  Produits de haute qualité | 1 tache(s) | IDs GLPI: 19868
Ticket #30643 | TR: *SPAM*  Correctement traitement du diabète | 1 tache(s) | IDs GLPI: 19866
Ticket #30645 | TR: *SPAM*  Produits de haute qualité | 1 tache(s) | IDs GLPI: 19862
Ticket #30646 | TR: How were you helped by SBOTEN | 1 tache(s) | IDs GLPI: 19860
Ticket #30647 | TR: *SPAM*  Le numéro 1 des couteaux de cuisine dans le monde | 1 tache(s) | IDs GLPI: 19858
Ticket #30649 | TR: *SPAM*  Correctement traitement du diabète | 1 tache(s) | IDs GLPI: 19855
Ticket #30650 | tel fixe | 1 tache(s) | IDs GLPI: 19853
Ticket #30651 | Codes | 1 tache(s) | IDs GLPI: 19851
Ticket #30653 | Création d'un carnet d'adresse  | 2 tache(s) | IDs GLPI: 19847,19848
Ticket #30654 | donner des accès sur k | 2 tache(s) | IDs GLPI: 19844,19845
Ticket #30655 | Mise à jour autorisation d'accès au dossier  PPLL Tableau de bord.xls sous K | 1 tache(s) | IDs GLPI: 19842
Ticket #30656 | TR: Payment associated to your account. | 1 tache(s) | IDs GLPI: 19840
Ticket #30659 | TR: Quarantine Report for msolagne@ivry94.fr | 1 tache(s) | IDs GLPI: 19836
Ticket #30663 | TR: Téléchargez notre livre blanc sur l'autoconsommation photovoltaïque | 1 tache(s) | IDs GLPI: 19831
Ticket #30665 | Ne retrouve pas des Mails depuis avant 2023 | 3 tache(s) | IDs GLPI: 19826,19827,19828
Ticket #30674 | Fiche_arrivee_changement_service_depart | 4 tache(s) | IDs GLPI: 19812,19813,19814,19815
Ticket #30681 | TR: *SPAM*  Le pack Virilblue, pour un changement de taille dans votre vie intime | 1 tache(s) | IDs GLPI: 19803
Ticket #30683 | écran tactile | 1 tache(s) | IDs GLPI: 19799
Ticket #30684 | Demande de Validation du Captcha - Rejoindre Webinaire | 1 tache(s) | IDs GLPI: 19797
Ticket #30685 | 2 Lignes Tél Fixe ne fonctionnent pas | 2 tache(s) | IDs GLPI: 19794,19795
Ticket #30686 | RE: Création d'un carnet d'adresse  | 1 tache(s) | IDs GLPI: 19792
Ticket #30697 | Archives inaccessible  | 1 tache(s) | IDs GLPI: 19780
Ticket #30700 | TR: *SPAM*  Traducteur de langues bidirectionnel instantané | 1 tache(s) | IDs GLPI: 19776
Ticket #30705 | installation d'une application sur telephones portables pro  | 1 tache(s) | IDs GLPI: 19770
Ticket #30708 | accès boite mail habitat | 1 tache(s) | IDs GLPI: 19766
Ticket #30709 | Demande de matériel | 1 tache(s) | IDs GLPI: 19762
Ticket #30710 | Demande d'accès | 1 tache(s) | IDs GLPI: 19760
Ticket #30711 | ecran | 1 tache(s) | IDs GLPI: 19756
Ticket #30712 | rallonge | 1 tache(s) | IDs GLPI: 19754
Ticket #30714 | Demande double écran  | 1 tache(s) | IDs GLPI: 19749
Ticket #30718 | demande de mail | 2 tache(s) | IDs GLPI: 19743,19744
Ticket #30731 | Appli BL.Nomad absente du playstore | 2 tache(s) | IDs GLPI: 19729,19730
Ticket #30733 | RE: Quarantine Report for acoluccia@ivry94.fr | 1 tache(s) | IDs GLPI: 19726
Ticket #30736 | HELP | 1 tache(s) | IDs GLPI: 19722
Ticket #30737 | Demande d'accés | 3 tache(s) | IDs GLPI: 19718,19719,19720
Ticket #30739 | TR: *SPAM*  Estimation personnalisée de perte de poids | 1 tache(s) | IDs GLPI: 19715
Ticket #30740 | Perte de fichiers sur le lecteur X | 5 tache(s) | IDs GLPI: 19709,19710,19711,19712,19713
Ticket #30741 | TR: Quarantine Report for efrances@ivry94.fr | 1 tache(s) | IDs GLPI: 19707
Ticket #30742 | Dossier disparus dans le X: Service EGT | 4 tache(s) | IDs GLPI: 19702,19703,19704,19705
Ticket #30744 | TR: *SPAM*  Don | 1 tache(s) | IDs GLPI: 19699
Ticket #30746 | Demande création de poste | 2 tache(s) | IDs GLPI: 19694,19695
Ticket #30748 | TR: Intégrer le widget pour les personnalités historiquement importantes | 1 tache(s) | IDs GLPI: 19692
Ticket #30749 | TR: *SPAM*  Don | 1 tache(s) | IDs GLPI: 19690
Ticket #30750 | TR: Offre Black Friday -10% sur Girod Médical! | 1 tache(s) | IDs GLPI: 19688
Ticket #30751 | TR: driect product Factory Inspection  & Shipping Agent Freight from China to USA/Canada francais/Germany/Italy | 1 tache(s) | IDs GLPI: 19686
Ticket #30752 | TR: *SPAM*  Limited Availability: Discount Designer Watches at Unbeatable Prices - Don't Wait! | 1 tache(s) | IDs GLPI: 19684
Ticket #30753 | TR: *SPAM*  Estimation personnalisée de perte de poids | 1 tache(s) | IDs GLPI: 19682
Ticket #30754 | TR: Nouvelle campagneGuide gratuit : Tout savoir sur l'autoconsommation photovoltaïque | 1 tache(s) | IDs GLPI: 19680
Ticket #30755 | TR: *SPAM*  Traducteur de langues bidirectionnel instantané | 1 tache(s) | IDs GLPI: 19678
Ticket #30758 | TR: Nouvelle campagneGuide gratuit : Tout savoir sur l'autoconsommation photovoltaïque | 1 tache(s) | IDs GLPI: 19674
Ticket #30759 | panne reseau controle d'accés ecole Solomon | 2 tache(s) | IDs GLPI: 19671,19672
Ticket #30763 | TR: Demande d'accés - ID 30737 - Retour d'Informations | 1 tache(s) | IDs GLPI: 19666
Ticket #30767 | activation ports curie | 1 tache(s) | IDs GLPI: 19659
Ticket #30771 | Lien ACCEO PRO  | 1 tache(s) | IDs GLPI: 19653
Ticket #30778 | problème d'impression photocopieur XTU01507 Mairie 1er étage  | 1 tache(s) | IDs GLPI: 19645
Ticket #30780 | Nouvel arrivant à BDP  | 2 tache(s) | IDs GLPI: 19638,19640
Ticket #30782 | arrivées agents CCAS - site Pablo Neruda | 1 tache(s) | IDs GLPI: 19636
Ticket #30786 | Rainbow | 1 tache(s) | IDs GLPI: 19630
Ticket #30792 | TR: *SPAM*  Répondez à notre enquête, gagnez une palette Temu | 1 tache(s) | IDs GLPI: 19624
Ticket #30793 | TR: Quarantine Report for acoluccia@ivry94.fr | 1 tache(s) | IDs GLPI: 19622
Ticket #30795 | Destinataire | 2 tache(s) | IDs GLPI: 19618,19619
Ticket #30797 | Bonjour,   Pourriez vous me donner accès au répertoire suivant :   K:\ | 2 tache(s) | IDs GLPI: 19614,19615
Ticket #30798 | TR: Changement parametre DSI Communication | 1 tache(s) | IDs GLPI: 19612
Ticket #30799 | RE: Changement parametre DSI Communication | 1 tache(s) | IDs GLPI: 19610
Ticket #30801 | TR: TR: IRIS 19002014 versement du solde 21860,83€ sur mauvais RIB | 1 tache(s) | IDs GLPI: 19607
Ticket #30802 | TR: Opensub très lent ce matin | 2 tache(s) | IDs GLPI: 19604,19605
Ticket #30804 | Demande extension wifi pour le CTM Lamant | 2 tache(s) | IDs GLPI: 19597,19598
Ticket #30805 | Demande PC portable site Rigaud + wifi sur site | 1 tache(s) | IDs GLPI: 19595
Ticket #30806 | Problème imprimante accueil Luxy + téléphone cabine | 1 tache(s) | IDs GLPI: 19592
Ticket #30807 | Suppression compte Outlook | 1 tache(s) | IDs GLPI: 19589
Ticket #30808 | Fiche arrivée d'une stagiaire | 1 tache(s) | IDs GLPI: 19587
Ticket #30810 | Creation I + deplacement archive | 1 tache(s) | IDs GLPI: 19584
Ticket #30811 | Creation disque I | 1 tache(s) | IDs GLPI: 19582
Ticket #30814 | TR: Urgent: Récapitulatifs des services d'authentification | 1 tache(s) | IDs GLPI: 19574
Ticket #30822 | TR: *SPAM*  Le numéro 1 des couteaux de cuisine dans le monde | 1 tache(s) | IDs GLPI: 19565
Ticket #30825 | TR: Mise en ligne de K/:CONGES 2024 | 1 tache(s) | IDs GLPI: 19561
Ticket #30827 | conges sur K | 2 tache(s) | IDs GLPI: 19557,19558
Ticket #30830 | Espace sur E112 | 1 tache(s) | IDs GLPI: 19554
Ticket #30831 | problème de lecteur réseau | 2 tache(s) | IDs GLPI: 19551,19552
Ticket #30832 | Plus de reseau sur le poste | 1 tache(s) | IDs GLPI: 19547
Ticket #30836 | mise à jour du groupe accueil.rdu | 1 tache(s) | IDs GLPI: 19541
Ticket #30838 | TR: Mise en ligne de K/:CONGES 2024 | 1 tache(s) | IDs GLPI: 19535
Ticket #30840 | Demande autorisation d'écriture sur le serveur | 2 tache(s) | IDs GLPI: 19531,19532
Ticket #30841 | TR: Confirmation : l'audit digital de  est disponible ! | 1 tache(s) | IDs GLPI: 19529
Ticket #30842 | SERVICE VIE DES QUARTIERS - OUVERTURE COMPTE WINDOWS  | 1 tache(s) | IDs GLPI: 19527
Ticket #30845 | Mise à disposition de matériel | 1 tache(s) | IDs GLPI: 19521
Ticket #30847 | TR: Test Ressources | 1 tache(s) | IDs GLPI: 19516
Ticket #30848 | Fwd: Quarantine Report for mrevoy@ivry94.fr | 1 tache(s) | IDs GLPI: 19514
Ticket #30849 | restauration mail - changement UC | 3 tache(s) | IDs GLPI: 19508,19509,19510
Ticket #30851 | Suppression Rdp iMuse | 3 tache(s) | IDs GLPI: 19503,19504,19505
Ticket #30853 | Création-compte-Thomas-AKKOUCHIAN.doc | 2 tache(s) | IDs GLPI: 19499,19500
Ticket #30855 | Demande IP Imprimante | 3 tache(s) | IDs GLPI: 19495,19496,19497
Ticket #30856 | Fiche_arrivee_service | 2 tache(s) | IDs GLPI: 19492,19493
Ticket #30858 | TR: RE: Formations CMPP | 1 tache(s) | IDs GLPI: 19489
Ticket #30861 | SERVICE VIE DES QUARTIERS  - MONMOUSSEAU  | 1 tache(s) | IDs GLPI: 19483
Ticket #30862 | TR: FICHE ARRIVEE / CHANGEMENT DE SERVICE / DEPART | 1 tache(s) | IDs GLPI: 19481
Ticket #30864 | Demande de création de compte | 1 tache(s) | IDs GLPI: 19478
Ticket #30865 | Mail introuvable | 1 tache(s) | IDs GLPI: 19476
Ticket #30867 | accès | 1 tache(s) | IDs GLPI: 19473
Ticket #30874 | recensement 2024 | 1 tache(s) | IDs GLPI: 19464
Ticket #30878 | augmentation des espaces de stockage I et outlook | 1 tache(s) | IDs GLPI: 19458
Ticket #30894 | MAKARENKO Clef frigo | 1 tache(s) | IDs GLPI: 19441
Ticket #30895 | Accès au W | 1 tache(s) | IDs GLPI: 19439
Ticket #30906 | Demande accès dossier individuel + DJ (X: ) | 1 tache(s) | IDs GLPI: 19427
Ticket #30908 | TR: demandes | 1 tache(s) | IDs GLPI: 19424
Ticket #30911 | Demande de code  | 1 tache(s) | IDs GLPI: 19420
Ticket #30913 | Demande de scanner | 1 tache(s) | IDs GLPI: 19415
Ticket #30914 | Blocage application par Sophos | 1 tache(s) | IDs GLPI: 19412
Ticket #30916 | Demande matériel / réunion | 1 tache(s) | IDs GLPI: 19410
Ticket #30919 | Fwd: Quarantine Report for mrevoy@ivry94.fr | 1 tache(s) | IDs GLPI: 19405
Ticket #30921 | déblocage d'un mail. | 1 tache(s) | IDs GLPI: 19402
Ticket #30922 | Bonjour   Pouvez-vous restaurer le dossier 2023 à la date du 30/11/202 | 1 tache(s) | IDs GLPI: 19400
Ticket #30923 | Augmentation de la capacité de boite mail | 1 tache(s) | IDs GLPI: 19398
Ticket #30936 | Départ Nadia Belala | 1 tache(s) | IDs GLPI: 19384
Ticket #30938 | TR : Peer Gynt répétitions et concert | 1 tache(s) | IDs GLPI: 19381
Ticket #30939 | problème OPUS | 1 tache(s) | IDs GLPI: 19377
Ticket #30940 | TR: Madame Collin Frédérique | 1 tache(s) | IDs GLPI: 19375
Ticket #30945 | Demande de connexion internet | 1 tache(s) | IDs GLPI: 19368
Ticket #30969 | Compte Expiré = Contrat Prolongé  | 2 tache(s) | IDs GLPI: 19338,19339
Ticket #30978 | Envoi d’un message : Fiche_arrivee_changement_service_depart MBOUKOU Michel | 1 tache(s) | IDs GLPI: 19324
Ticket #30982 | ma fin d'activité professionnelle | 1 tache(s) | IDs GLPI: 19319
Ticket #30983 | Pas de réseau sur le poste depuis Vendredi 1er Décembre 2023 | 1 tache(s) | IDs GLPI: 19316
Ticket #30985 | Accès mail  | 1 tache(s) | IDs GLPI: 19312
Ticket #30986 | Demande ouverture session | 3 tache(s) | IDs GLPI: 19308,19309,19310
Ticket #30989 | Urgence Smartphone Edouard Fabien | 1 tache(s) | IDs GLPI: 19301
Ticket #30990 | Fiche_arrivee_changement_service_depart | 1 tache(s) | IDs GLPI: 19298
Ticket #31006 | tablette filtre  | 1 tache(s) | IDs GLPI: 19278
Ticket #31010 | Fiche arrivée de M. Karim Hellal au conservatoire le mardi 5 décembre 2023 | 5 tache(s) | IDs GLPI: 19266,19267,19268,19269,19270
Ticket #31013 | Demande de création liste de distribution secteur rédaction | 2 tache(s) | IDs GLPI: 19260,19262
Ticket #31014 | Plus d'Espace sur le X et le Z | 2 tache(s) | IDs GLPI: 19258,19259
Ticket #31018 | TR: Lettre de relevé compteur | 1 tache(s) | IDs GLPI: 19253
Ticket #31019 | Droits d'accès | 3 tache(s) | IDs GLPI: 19247,19248,19249
Ticket #31023 | accès boite mail | 1 tache(s) | IDs GLPI: 19243
Ticket #31026 | Demande échange casque téléphonie | 1 tache(s) | IDs GLPI: 19239
Ticket #31028 | TR: Fiche_arrivee_changement_service_depart | 1 tache(s) | IDs GLPI: 19236
Ticket #31030 | Demande d'ouverture de droits pour le dossier coordination DDU sous :k/ | 1 tache(s) | IDs GLPI: 19233
Ticket #31031 | Change de Service de RIGAUD à LAMANT Bloc C depuis ce jour | 1 tache(s) | IDs GLPI: 19231
Ticket #31032 | intégration dans la liste de diffusion direction. | 1 tache(s) | IDs GLPI: 19228
Ticket #31034 | Accès Serveur CMS | 2 tache(s) | IDs GLPI: 19225,19226
Ticket #31037 | TR: Installation appareil ECG 23DEM-RSTU-00790 HLSOFT | 2 tache(s) | IDs GLPI: 19219,19220
Ticket #31038 | dysfonctionnement station multiport belkin | 1 tache(s) | IDs GLPI: 19214
Ticket #31040 | Augmentation du volume d'espace disque - URGENT - PO 20442 | 1 tache(s) | IDs GLPI: 19211
Ticket #31041 | demande M. BANNIER accès k:\préparation budgétaire DBC | 1 tache(s) | IDs GLPI: 19209
Ticket #31047 | Accès Dossier Réseau | 2 tache(s) | IDs GLPI: 19201,19202
Ticket #31051 | TR: Quarantine Report for cdaubisse@ivry94.fr | 1 tache(s) | IDs GLPI: 19196
Ticket #31052 | rajout dans la liste de diffusion  | 2 tache(s) | IDs GLPI: 19193,19194
Ticket #31056 | Demande d'augmentation taille dossiers pour Nathalie Leberthon | 2 tache(s) | IDs GLPI: 19187,19188
Ticket #31061 | Espace disponible sur le réseau (X:) | 1 tache(s) | IDs GLPI: 19181
Ticket #31065 | SERVICE VIE DES QUARTIERS - MONMOUSSEAU - OUVERTURE SESSION OUTLOOK  | 1 tache(s) | IDs GLPI: 19176
Ticket #31106 | Augmentation / stockage / mail / Imprimerie | 1 tache(s) | IDs GLPI: 19132
Ticket #31107 | UC20226 inaxéssible | 2 tache(s) | IDs GLPI: 19129,19130
Ticket #31109 | RE: Augmentation du volume d'espace disque - URGENT - PO 20442 | 1 tache(s) | IDs GLPI: 19126
Ticket #31117 | Demande d'ajout de M. Nicolas LE NECH dans la liste de diffusion des Directeurs | 1 tache(s) | IDs GLPI: 19118
Ticket #31121 | Recensement des adresses mails | 2 tache(s) | IDs GLPI: 19114,19115
Ticket #31133 | Problème avec le Softphonie (distanciel) | 1 tache(s) | IDs GLPI: 19094
Ticket #31136 | Place E122 sur le réseau | 1 tache(s) | IDs GLPI: 19089
Ticket #31143 | Droits d'accès K: congés ATSL | 3 tache(s) | IDs GLPI: 19073,19074,19075
Ticket #31145 | création d'un répertoire sur K | 1 tache(s) | IDs GLPI: 19068
Ticket #31147 | Création-compte-Damien-Pignon.doc | 1 tache(s) | IDs GLPI: 19063
Ticket #31156 | Connexion MAC du tremplin sur le LAN | 1 tache(s) | IDs GLPI: 19048
Ticket #31159 | telephone ligne 01 49 60 25 65 site de Lament | 1 tache(s) | IDs GLPI: 19042
Ticket #31160 | Demande création de compte | 1 tache(s) | IDs GLPI: 19038
Ticket #31164 | Boite à décomissionner car agents partis | 1 tache(s) | IDs GLPI: 19033
Ticket #31168 | Ouverture et fermeture de session Outlook | 1 tache(s) | IDs GLPI: 19022
Ticket #31169 | Direction_autorisation d'accès Mr Axel Taupin | 1 tache(s) | IDs GLPI: 19020
Ticket #31171 | Fwd: Quarantine Report for mrevoy@ivry94.fr | 1 tache(s) | IDs GLPI: 19017
Ticket #31188 | Droit accès sur K/Pole_education  | 1 tache(s) | IDs GLPI: 18993
Ticket #31196 | Session d'ouverture | 2 tache(s) | IDs GLPI: 18984,18985
Ticket #31197 | Demande de radiation du Sim | 1 tache(s) | IDs GLPI: 18982
Ticket #31200 | Debloquage Sophos  | 2 tache(s) | IDs GLPI: 18977,18978
Ticket #31203 | Demande accès Photo_DCCASS-CMPP | 1 tache(s) | IDs GLPI: 18973
Ticket #31212 | Demande ajout espace sur disque DSF (X) | 1 tache(s) | IDs GLPI: 18963
Ticket #31213 | Perte de X et de K en télétravail accès non résolu | 1 tache(s) | IDs GLPI: 18960
Ticket #31216 | Demande de crétation de boite mail | 1 tache(s) | IDs GLPI: 18957
Ticket #31217 | Accès | 2 tache(s) | IDs GLPI: 18954,18955
Ticket #31223 | Qui est à l'origine de la création de cette boite ? | 1 tache(s) | IDs GLPI: 18947
Ticket #31227 | Mise à jour Rainbow | 1 tache(s) | IDs GLPI: 18941
Ticket #31228 | Demande d'installation CLOUD ELUS | 1 tache(s) | IDs GLPI: 18940
Ticket #31239 | mail non atteint | 1 tache(s) | IDs GLPI: 18926
Ticket #31240 | Demande libération mail bloqué dans Sophos | 1 tache(s) | IDs GLPI: 18924
Ticket #31246 | Demande d'installation du logiciel Google Earth | 1 tache(s) | IDs GLPI: 18917
Ticket #31249 | RE: Formulaire de demande de matériel nouvel arrivant | 6 tache(s) | IDs GLPI: 18908,18909,18910,18911,18912,18913
Ticket #31250 | Problème connexion internet | 1 tache(s) | IDs GLPI: 18906
Ticket #31251 | Boite mail Générique  | 1 tache(s) | IDs GLPI: 18904
Ticket #31252 | accès DSALE/Commun | 2 tache(s) | IDs GLPI: 18901,18902
Ticket #31258 | demande budgétaire 2024 | 2 tache(s) | IDs GLPI: 18890,18893
Ticket #31265 | Accès au répertoire DRH - CREP dans K | 1 tache(s) | IDs GLPI: 18884
Ticket #31266 | demande de PC portable  | 2 tache(s) | IDs GLPI: 18881,18882
Ticket #31267 | Fiche_arrivee_changement_service_depart-PRAT-CORONA | 1 tache(s) | IDs GLPI: 18879
Ticket #31270 | Suppression de l'archive outlook en voulant faire du ménage | 1 tache(s) | IDs GLPI: 18875
Ticket #31273 | Accès boîte "conservatoire.municipal@ivry94.fr" pour Karim HELLAL | 2 tache(s) | IDs GLPI: 18867,18868
Ticket #31276 | perte des messages envoyées dans outlook | 1 tache(s) | IDs GLPI: 18858
Ticket #31277 | DDAC _ Direction _Problème d'impression sur mon imprimante individuelle | 1 tache(s) | IDs GLPI: 18856
Ticket #31281 | Fusion PDF | 1 tache(s) | IDs GLPI: 18850
Ticket #31284 | recensement 2024 | 1 tache(s) | IDs GLPI: 18844
Ticket #31286 | Boite mail voeux 2024 | 1 tache(s) | IDs GLPI: 18840
Ticket #31287 | Boite mail voeux 2019/2020/2021 | 1 tache(s) | IDs GLPI: 18838
Ticket #31292 | LMP USB-C mini Dock - Dock USB-C 8 ports Gris Sidéral | 1 tache(s) | IDs GLPI: 18834
Ticket #31295 | demande de clef USB | 2 tache(s) | IDs GLPI: 18829,18830
Ticket #31296 | Demande accès calendrier partagé RDV CCAS | 3 tache(s) | IDs GLPI: 18825,18826,18827
Ticket #31303 | SPAM | 1 tache(s) | IDs GLPI: 18818
Ticket #31305 | TR: Photo de Lapaix -Albertini | 1 tache(s) | IDs GLPI: 18816
Ticket #31306 | Boite voeux2024 | 1 tache(s) | IDs GLPI: 18814
Ticket #31308 | RE: Quarantine Report for ealvesvieira@ivry94.fr | 1 tache(s) | IDs GLPI: 18811
Ticket #31309 | RE: demande de changement d'ordinateur  pour le télétravail (17'') | 1 tache(s) | IDs GLPI: 18808
Ticket #31310 | Liste de diffusion | 1 tache(s) | IDs GLPI: 18805
Ticket #31311 | RE: Quarantine Report for schs.habitat@ivry94.fr | 1 tache(s) | IDs GLPI: 18803
Ticket #31315 | forfait telephonique espagne  | 1 tache(s) | IDs GLPI: 18797
Ticket #31319 | TR: Note de service 19.23_Prise de fonction responsables de service | 1 tache(s) | IDs GLPI: 18791
Ticket #31324 | Spam | 1 tache(s) | IDs GLPI: 18784
Ticket #31326 | Demande imprimante - Emilia Fernandes | 2 tache(s) | IDs GLPI: 18778,18780
Ticket #31327 | SPAM | 1 tache(s) | IDs GLPI: 18776
Ticket #31330 | Création-compte-Namory-Bakayoko.doc | 1 tache(s) | IDs GLPI: 18773
Ticket #31331 | Plus de wifi direction Jeunesse | 1 tache(s) | IDs GLPI: 18769
Ticket #31339 | Fichier déplacer | 3 tache(s) | IDs GLPI: 18759,18760,18761
Ticket #31340 | Coupure de courant : SEPARATION RESEAU - CLERVILLE T0000D1T IVRY SUR SEINE 27/12 | 1 tache(s) | IDs GLPI: 18757
Ticket #31342 | Impossiblité connexion WIFI | 2 tache(s) | IDs GLPI: 18753,18754
Ticket #31344 | TR: De Photo-DEP-Cat02 | 1 tache(s) | IDs GLPI: 18747
Ticket #31346 | Problèmes mails notification SEDIT | 2 tache(s) | IDs GLPI: 18744,18745
Ticket #31347 | Fwd: Quarantine Report for mrevoy@ivry94.fr | 1 tache(s) | IDs GLPI: 18742
Ticket #31351 | acces air délib et iparapheur | 1 tache(s) | IDs GLPI: 18733
Ticket #31352 | ouverture de K:/CONGES | 1 tache(s) | IDs GLPI: 18731
Ticket #31354 | RE: création boite mail | 2 tache(s) | IDs GLPI: 18728,18729
Ticket #31357 | droit de modif sur répertoire | 1 tache(s) | IDs GLPI: 18724
Ticket #31358 | NOUVEL ARRIVANT | 2 tache(s) | IDs GLPI: 18721,18722
Ticket #31363 | accès | 1 tache(s) | IDs GLPI: 18715
Ticket #31368 | Demande création de compte | 1 tache(s) | IDs GLPI: 18709
Ticket #31369 | accés dossier | 2 tache(s) | IDs GLPI: 18706,18707
Ticket #31370 | Fwd: Config SPF QuickStudio // ivry94 | 1 tache(s) | IDs GLPI: 18704
Ticket #31371 | TR: Certificat https expire binetôt | 2 tache(s) | IDs GLPI: 18701,18702
Ticket #31375 | Dossiers perdu sur la boîte de réception Outlokk | 1 tache(s) | IDs GLPI: 18697
Ticket #31376 | transmissions AVIS'AU | 4 tache(s) | IDs GLPI: 18692,18693,18694,18695
Ticket #31377 | puce de portable perdue | 1 tache(s) | IDs GLPI: 18690
Ticket #31378 | Accès boite recrutement@ivry94.fr | 1 tache(s) | IDs GLPI: 18688
Ticket #31380 | Demande création compte M. ECHHAIBI | 1 tache(s) | IDs GLPI: 18685
Ticket #31381 | Demande de renseignement = pourquoi l'appel s'affiche en "Privé" | 1 tache(s) | IDs GLPI: 18683
Ticket #31383 | Accès Console AD | 1 tache(s) | IDs GLPI: 18681
Ticket #31384 | TR: inversion de poste | 1 tache(s) | IDs GLPI: 18679
Ticket #31386 | Impossibilité envoie email | 1 tache(s) | IDs GLPI: 18676
Ticket #31387 | Demande accès dossier G600 + demande installation téléphone | 2 tache(s) | IDs GLPI: 18673,18674
Ticket #31388 | TR: Canon - Echec de communication avec un appareil [ROW ID]:1-16P9SPSL* Ne pas supprimer l’Id de ligne de l’objet * | 1 tache(s) | IDs GLPI: 18671
Ticket #31389 | TR: Canon - Echec de communication avec un appareil [ROW ID]:1-1C0VG9GO* Ne pas supprimer l’Id de ligne de l’objet * | 1 tache(s) | IDs GLPI: 18669
Ticket #31390 | TR: Canon - Echec de communication avec un appareil [ROW ID]:1-15JOJYDD* Ne pas supprimer l’Id de ligne de l’objet * | 1 tache(s) | IDs GLPI: 18667
Ticket #31396 | Nouvel arrivant à la direction de la communication + changements de bureaux  | 3 tache(s) | IDs GLPI: 18656,18657,18658
Ticket #31398 | Fiche_arrivee_ Marjorie.doc | 1 tache(s) | IDs GLPI: 18654
Ticket #31402 | Demande changement d'ordinateur M. TRAORE Samba | 1 tache(s) | IDs GLPI: 18645
Ticket #31406 | Fiche arrivée | 1 tache(s) | IDs GLPI: 18640
Ticket #31407 | création de compte air délib | 1 tache(s) | IDs GLPI: 18638
Ticket #31410 | problème de répertoire ? | 1 tache(s) | IDs GLPI: 18634
Ticket #31417 | TR: DJEUN//NUMERISATION DU PIJ | 2 tache(s) | IDs GLPI: 18625,18626
Ticket #31423 | création de session Outlook pour Benoît CAUT | 2 tache(s) | IDs GLPI: 18613,18614
Ticket #31432 | Fiche_arrivee_CarolIngrid | 2 tache(s) | IDs GLPI: 18601,18603
Ticket #31434 | TR: Quarantine Report for gmoll@ivry94.fr | 1 tache(s) | IDs GLPI: 18599
Ticket #31435 | Perte ou Vol : Ordinateur portable et Smartphone / Mme MEDALEL | 1 tache(s) | IDs GLPI: 18597
Ticket #31447 | Arrivée vacataire | 1 tache(s) | IDs GLPI: 18580
Ticket #31449 | Erreur script demarrage | 1 tache(s) | IDs GLPI: 18577
Ticket #31451 | Fiche_arrivee_changement_service_depart BELHOUAS Malika | 3 tache(s) | IDs GLPI: 18572,18573,18574
Ticket #31454 | Demande d'ouverture de compte Outlook | 1 tache(s) | IDs GLPI: 18568
Ticket #31455 | Suppression compte Outlook | 1 tache(s) | IDs GLPI: 18566
Ticket #31456 | TR: Rapport d'emails stoppés MailinBlack | 1 tache(s) | IDs GLPI: 18562
Ticket #31464 | I presque saturé & probleme mail | 1 tache(s) | IDs GLPI: 18557
