Direction;emailDIR;Date;Quoi ?;Type;Service;EmailSER;Cout TTC;Arbitrage ;Priorité;Suivi;Commentaire ?;TICKET;LIEN;DSI;SUIVI2;GRU
CMS;;09/12/2025;Stockage vidéos;Demande;CMPP;;;DSI;;;"Sujet avec Catherine Martin sur le stockage des vidéos des enfants car actuellement 
elles sont stockées sur des cartes SD. Les volumes sont très importants en stockage.
Monter une réunion avec Catherine MARTIN & MARTIAL SOLAGNE";;;DSI;;
DSPORTS;;27/11/2025;Imprimante A3;Demande;SEN;;;DSI;;;"Problème d'impressions des plannings pour les maitres-nageurs donc demande
d'une imprimante A3 couleurs ou changer le photocopieur par un photocopieur couleur";;;SSD;Affiner les besoins;
PF;;16/12/2025;Concerto et pointage MQ et Jeunesse;Projet;PF;;;DSI;;En cours Mise en œuvre contacter nchemame@ivry94.fr;"Les outils de pointages des services sont actuellement autonomes mais au niveau
des maisons de quartiers et la jeunesse, ils veulent qu'ils soient autonomes
sur le pointages, licences achetés paramétrages des activités faites, manque
les tablettes et le paramétrage des tablettes sur le serveur en cours par Nadir 
et Sédina ils doivent récupérer les tablettes des élections";;;NCH/SSD;;
SPE;;16/12/2025;Fibre optique dans les crèches;Demande;SPE;;;DSI;;;Toutes les crèches ne sont pas équipés de fibres optiques donc problèmes de lenteurs;;;IRS;;
SPE;;16/12/2025;Accès réseau Madeleine BRES;Demande;SPE;;;DSI;;Fait;Crèche Madeleine BRES elles ont rapporté l'ordinateur portable à la DSI dans la salle du personnelle en accès libre mais il n'y avait pas de réseau donc il l'ont rendu mais souhaiterait un ordinateur portable et un accès au réseau;;;SSD/IRS;;
SPE;;16/12/2025;Téléphonie;Demande;SPE;;;DSI;;Fait;"Le numéro de la structure en 09 sur les appels sortants et quand ils appellent la structure ils passent
par le poste 25 50";;;IRS;Crée ticket;
SPE;;16/12/2025;Photocopieur;Demande;SPE;;;DG;;;"Photocopieur Noir et Blanc fatigué pas de pb avec la hotline il est capricieux parfois ne 
fonctionne pas bien il est ancien.";;;SSD;Préciser l'usage;
VAC;;16/12/2025;Centre de vacances Tablettes prêt de 10;Demande;VAC;;;DSI;;Fait;Ils empruntent des tablettes au nombre de 10 tablettes du 20 février au 7 mars  comme en été pour les questionnaires de satisfactions aux enfants lors des colonies. Ok Si ils s'engagent à les rendre le 7 ou 8 mars OK Selon Marc. Ouvrir ticket et demander.;;;SSD;Besoin de faire une réunion globale sur le centre des vacances avec Marc pour affiner les besoins.;
VAC;;16/12/2025;Photocopieur;Demande;VAC;;;DG;;;"Demande de photocopieur Noir et blanc très vieillissant des messages d'erreurs, problèmes 
chargeur à moitié froissé. D'ailleurs ils disent que ils devraient y avoir une maintenance préventive
dans les 6 mois selon le contrat.";;;SSD;Préciser l'usage;
VAC;;16/12/2025;Centre Mathes et Héry fibre et Ecrans interactifs pour classes;Demande;VAC;;;DSI;;;"La fibre optique sur le centre Les Mathes elle arrive dans le bureau du directeur 
mais pas dans les salles de classes au nombre de 4 et un ENI dans une classe.
Sur le centre Héry sur Egine un écran voir avec Réda type d'écran dans les 
classes d'écoles, ils veulent la même chose.";;;SSD;Organiser réunion avec service Vacances Marc pour les projets et demandes services vacances;
VAC;;16/12/2025;Demande de 2 grands doubles écrans par poste;Demande;VAC;;;DSI;;;"Au niveau du service Vacances, ils veulent pour 5 agents au lieu de 1 grand écran et petit 
écran d'ordinateur 2 grands écrans.";;;SSD;Besoin de faire une réunion globale sur le centre des vacances avec Marc pour affiner les besoins.;
VAC;;16/12/2025;Vidéoprojecteurs;Demande;VAC;;;DSI;;;"Demande de vidéoprojecteur au nombre de 2 pour Les Vignes pas de classes et 
pour Héry (si pas de ENI attribué plus haut)";;;SSD;Besoin de faire une réunion globale sur le centre des vacances avec Marc pour affiner les besoins.;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
